,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
44,2022-02-14,84.3143790928367,35.93770413299289,118.96379668746592,84.3143790928367,84.3143790928367,-7.683441360860487,-7.683441360860487,-7.683441360860487,1.1954079175077947,1.1954079175077947,1.1954079175077947,-8.878849278368282,-8.878849278368282,-8.878849278368282,0.0,0.0,0.0,76.63093773197622
45,2022-02-15,84.27732739731451,28.43232284864614,111.53207012966735,84.27732739731451,84.27732739731451,-13.313246950924876,-13.313246950924876,-13.313246950924876,-5.884970958481515,-5.884970958481515,-5.884970958481515,-7.428275992443359,-7.428275992443359,-7.428275992443359,0.0,0.0,0.0,70.96408044638963
46,2022-02-16,84.2402757017923,42.79327877613149,126.55599339647296,84.2402757017923,84.2402757017923,0.24410334849188842,0.24410334849188842,0.24410334849188842,6.056503697205737,6.056503697205737,6.056503697205737,-5.812400348713848,-5.812400348713848,-5.812400348713848,0.0,0.0,0.0,84.48437905028419
47,2022-02-17,84.2032240062701,34.64449488345819,118.51230407256668,84.2032240062701,84.2032240062701,-5.372617823074518,-5.372617823074518,-5.372617823074518,-1.3070456147793796,-1.3070456147793796,-1.3070456147793796,-4.065572208295138,-4.065572208295138,-4.065572208295138,0.0,0.0,0.0,78.83060618319558
48,2022-02-18,84.16617231074791,36.15390853692806,119.11141739254371,84.16617231074791,84.16617231074791,-6.603871936981851,-6.603871936981851,-6.603871936981851,-4.378812445798759,-4.378812445798759,-4.378812445798759,-2.2250594911830923,-2.2250594911830923,-2.2250594911830923,0.0,0.0,0.0,77.56230037376606
49,2022-02-19,84.12912061522572,43.09364492741675,125.00205913290539,84.12912061522572,84.12912061522572,0.09025346970549243,0.09025346970549243,0.09025346970549243,0.4203222574210947,0.4203222574210947,0.4203222574210947,-0.3300687877156023,-0.3300687877156023,-0.3300687877156023,0.0,0.0,0.0,84.2193740849312
50,2022-02-20,84.09206891564774,46.45846304948975,127.83232908144538,84.09206891564774,84.09206891564774,5.477875245179048,5.477875245179048,5.477875245179048,3.8985951469829963,3.8985951469829963,3.8985951469829963,1.579280098196051,1.579280098196051,1.579280098196051,0.0,0.0,0.0,89.5699441608268
51,2022-02-21,84.05501721606976,47.169291012437476,129.87509391365674,84.05501721606976,84.05501721606976,4.658405278831744,4.658405278831744,4.658405278831744,1.1954079174931276,1.1954079174931276,1.1954079174931276,3.4629973613386165,3.4629973613386165,3.4629973613386165,0.0,0.0,0.0,88.7134224949015
52,2022-02-22,84.01796551649178,41.05478338920385,126.24058031412801,84.01796551649178,84.01796551649178,-0.6027154791763532,-0.6027154791763532,-0.6027154791763532,-5.884970958478801,-5.884970958478801,-5.884970958478801,5.282255479302448,5.282255479302448,5.282255479302448,0.0,0.0,0.0,83.41525003731543
53,2022-02-23,83.98091381691383,53.82514633563664,139.54167718503518,83.98091381691383,83.98091381691383,13.056886012547468,13.056886012547468,13.056886012547468,6.056503697213468,6.056503697213468,6.056503697213468,7.000382315333998,7.000382315333998,7.000382315333998,0.0,0.0,0.0,97.03779982946129
54,2022-02-24,83.94386211733584,52.002643399637755,135.22692903359365,83.94386211733584,83.94386211733584,7.276742390067945,7.276742390067945,7.276742390067945,-1.307045614796162,-1.307045614796162,-1.307045614796162,8.583788004864108,8.583788004864108,8.583788004864108,0.0,0.0,0.0,91.22060450740378
55,2022-02-25,83.90681041775787,45.09933618891243,131.28670861179222,83.90681041775787,83.90681041775787,5.623988113013056,5.623988113013056,5.623988113013056,-4.378812445803842,-4.378812445803842,-4.378812445803842,10.002800558816897,10.002800558816897,10.002800558816897,0.0,0.0,0.0,89.53079853077092
56,2022-02-26,83.8697587181799,52.62406033446148,140.4000932229609,83.8697587181799,83.8697587181799,11.652710034668779,11.652710034668779,11.652710034668779,0.42032225739488993,0.42032225739488993,0.42032225739488993,11.232387777273887,11.232387777273887,11.232387777273887,0.0,0.0,0.0,95.52246875284868
57,2022-02-27,83.83270701860191,54.35076872716606,143.0321013251293,83.83270701860191,83.83270701860191,16.151341489766462,16.151341489766462,16.151341489766462,3.898595146948154,3.898595146948154,3.898595146948154,12.252746342818307,12.252746342818307,12.252746342818307,0.0,0.0,0.0,99.98404850836837
